permno,date,ticker,prc,ret,shrout,vol
84788,17-08-2018,AMZN,1882.21997,-0.002279,487741,4104303
84788,20-08-2018,AMZN,1876.70996,-0.002927,487741,2862017
84788,21-08-2018,AMZN,1883.42004,0.003575,487741,3105626
84788,22-08-2018,AMZN,1904.90002,0.011405,487741,3080474
84788,23-08-2018,AMZN,1902.90002,-0.00105,487741,3563074
84788,24-08-2018,AMZN,1905.39001,0.001309,487741,2801655
84788,27-08-2018,AMZN,1927.68005,0.011698,487741,3569106
84788,28-08-2018,AMZN,1932.81995,0.002666,487741,3100813
84788,29-08-2018,AMZN,1998.09998,0.033775,487741,6532382
84788,30-08-2018,AMZN,2002.38,0.002142,487741,7277118
84788,31-08-2018,AMZN,2012.70996,0.005159,487741,4204378
84788,04-09-2018,AMZN,2039.51001,0.013315,487741,5720995
84788,05-09-2018,AMZN,1994.81995,-0.021912,487741,8720648
84788,06-09-2018,AMZN,1958.31006,-0.018302,487741,7484180
84788,07-09-2018,AMZN,1952.06995,-0.003186,487741,4893275
84788,10-09-2018,AMZN,1939.01001,-0.00669,487741,4545101
84788,11-09-2018,AMZN,1987.15002,0.024827,487741,5033545
84788,12-09-2018,AMZN,1990,0.001434,487741,4415212
84788,13-09-2018,AMZN,1989.87,-6.50E-05,487741,3621942
84788,14-09-2018,AMZN,1970.18994,-0.00989,487741,3642649
84788,17-09-2018,AMZN,1908.03003,-0.03155,487741,7050247
84788,18-09-2018,AMZN,1941.05005,0.017306,487741,4268715
84788,19-09-2018,AMZN,1926.42004,-0.007537,487741,4056876
84788,20-09-2018,AMZN,1944.30005,0.009281,487741,3154489
84788,21-09-2018,AMZN,1915.01001,-0.015065,487741,6856038
84788,24-09-2018,AMZN,1934.35999,0.010104,487741,4213743
84788,25-09-2018,AMZN,1974.55005,0.020777,487741,4538412
84788,26-09-2018,AMZN,1974.84998,0.000152,487741,4313618
84788,27-09-2018,AMZN,2012.97998,0.019308,487741,4329401
84788,28-09-2018,AMZN,2003,-0.004958,484000,4085140
84788,01-10-2018,AMZN,2004.35999,0.000679,484000,3468285
84788,02-10-2018,AMZN,1971.31006,-0.016489,484000,5400214
84788,03-10-2018,AMZN,1952.76001,-0.00941,484000,5263183
84788,04-10-2018,AMZN,1909.42004,-0.022194,484000,7305389
84788,05-10-2018,AMZN,1889.65002,-0.010354,484000,6822132
84788,08-10-2018,AMZN,1864.42004,-0.013352,484000,7393213
84788,09-10-2018,AMZN,1870.31995,0.003164,484000,4772766
84788,10-10-2018,AMZN,1755.25,-0.061524,484000,10998270
84788,11-10-2018,AMZN,1719.35999,-0.020447,484000,13938538
84788,12-10-2018,AMZN,1788.60999,0.040277,484000,9480504
84788,15-10-2018,AMZN,1760.94995,-0.015465,484000,6436762
84788,16-10-2018,AMZN,1819.95996,0.03351,484000,5859523
84788,17-10-2018,AMZN,1831.72998,0.006467,488969,5295089
84788,18-10-2018,AMZN,1770.71997,-0.033307,488969,5874070
84788,19-10-2018,AMZN,1764.03003,-0.003778,488969,5917254
84788,22-10-2018,AMZN,1789.30005,0.014325,488969,4499618
84788,23-10-2018,AMZN,1768.69995,-0.011513,488969,6723813
84788,24-10-2018,AMZN,1664.19995,-0.059083,488969,6927183
84788,25-10-2018,AMZN,1782.17004,0.070887,488969,10285705
84788,26-10-2018,AMZN,1642.81006,-0.078197,488969,14963228
84788,29-10-2018,AMZN,1538.88,-0.063264,488969,13865557
84788,30-10-2018,AMZN,1530.42004,-0.005497,488969,12460126
84788,31-10-2018,AMZN,1598.01001,0.044164,488969,9390218
84788,01-11-2018,AMZN,1665.53003,0.042253,488969,8126795
84788,02-11-2018,AMZN,1665.53003,0,488969,6957999
84788,05-11-2018,AMZN,1627.80005,-0.022653,488969,5624654
84788,06-11-2018,AMZN,1642.81006,0.009221,488969,4257353
84788,07-11-2018,AMZN,1755.48999,0.06859,488969,8192128
84788,08-11-2018,AMZN,1754.91003,-0.00033,488969,6534866
84788,09-11-2018,AMZN,1712.43005,-0.024206,488969,5902214
84788,12-11-2018,AMZN,1636.84998,-0.044136,488969,6806245
84788,13-11-2018,AMZN,1631.17004,-0.00347,488969,5933790
84788,14-11-2018,AMZN,1599.01001,-0.019716,488969,6486891
84788,15-11-2018,AMZN,1619.43994,0.012777,488969,8429658
84788,16-11-2018,AMZN,1593.41003,-0.016073,488969,6065990
84788,19-11-2018,AMZN,1512.29004,-0.05091,488969,7801351
84788,20-11-2018,AMZN,1495.45996,-0.011129,488969,10878474
84788,21-11-2018,AMZN,1516.72998,0.014223,488969,5736505
84788,23-11-2018,AMZN,1502.06006,-0.009672,488969,2707642
84788,26-11-2018,AMZN,1581.32996,0.052774,488969,6257016
84788,27-11-2018,AMZN,1581.42004,5.70E-05,488969,5787027
84788,28-11-2018,AMZN,1677.75,0.060914,488969,8458748
84788,29-11-2018,AMZN,1673.56995,-0.002491,488969,6623272
84788,30-11-2018,AMZN,1690.17004,0.009919,488969,5761761
84788,03-12-2018,AMZN,1772.35999,0.048628,488969,6862189
84788,04-12-2018,AMZN,1668.40002,-0.058656,488969,8694816
84788,06-12-2018,AMZN,1699.18994,0.018455,488969,8771936
84788,07-12-2018,AMZN,1629.13,-0.041231,488969,7576132
84788,10-12-2018,AMZN,1641.03003,0.007305,488969,7495019
84788,11-12-2018,AMZN,1643.23999,0.001347,488969,6244595
84788,12-12-2018,AMZN,1663.54004,0.012354,488969,6597968
84788,13-12-2018,AMZN,1658.38,-0.003102,488969,5271162
84788,14-12-2018,AMZN,1591.91003,-0.040081,488969,6367163
84788,17-12-2018,AMZN,1520.91003,-0.044601,488969,8829767
84788,18-12-2018,AMZN,1551.47998,0.0201,488969,6523000
84788,19-12-2018,AMZN,1495.07996,-0.036352,488969,8792189
84788,20-12-2018,AMZN,1460.82996,-0.022909,488969,9991524
84788,21-12-2018,AMZN,1377.44995,-0.057077,488969,13641597
84788,24-12-2018,AMZN,1343.95996,-0.024313,488969,7223643
84788,26-12-2018,AMZN,1470.90002,0.094452,488969,10411521
84788,27-12-2018,AMZN,1461.64001,-0.006295,488969,9722161
84788,28-12-2018,AMZN,1478.02002,0.011207,488969,8828850
84788,31-12-2018,AMZN,1501.96997,0.016204,488969,6954507
84788,02-01-2019,AMZN,1539.13,0.024741,488969,7981083
84788,03-01-2019,AMZN,1500.28003,-0.025242,488969,6975572
84788,04-01-2019,AMZN,1575.39001,0.050064,488969,9182420
84788,07-01-2019,AMZN,1629.51001,0.034353,488969,8023230
84788,08-01-2019,AMZN,1656.57996,0.016612,488969,8881451
